Ngày,Khu vực,Tổng tin,Tổng views,Views/Tin,Cycle,Heat Score,MFV,MFSI,Cung-Cầu,Giá gap (%),Giá (tr/m²),Cắt lỗ (%),YoY (%)
2026-03-10,Nam Từ Liêm,2486,11187,4.5,41.0,323.0,125.9,33.8,0.9,2.5,94.2,13.33,12.5
2026-03-10,Cầu Giấy,2008,1406,0.7,23.0,99.0,15.4,21.4,0.14,25.8,115.6,6.67,9.5
2026-03-10,Hà Đông,1906,1144,0.6,29.0,112.0,13.5,42.9,0.12,-14.3,78.8,10.0,18.3
2026-03-10,Hoàng Mai,1,6,6.1,75.0,378.0,0.1,56.1,1.22,,0,0,44.9
2026-03-10,Thanh Xuân,1410,7755,5.5,45.0,289.0,85.3,35.2,1.1,4.6,96.1,20.0,10.0
2026-03-10,Tây Hồ,1047,3979,3.8,49.0,238.0,43.0,32.7,0.76,53.0,140.6,0,8.2
2026-03-10,Bắc Từ Liêm,956,3824,4.0,39.0,216.0,44.0,33.0,0.8,10.9,101.9,20.0,15.0
2026-03-10,Gia Lâm,809,2589,3.2,41.0,199.0,31.6,56.8,0.64,-19.9,73.6,33.33,22.0
2026-03-10,Long Biên,703,1968,2.8,49.0,237.0,25.2,51.9,0.56,-11.9,81.0,4.35,28.0
2026-03-10,Hoài Đức,626,5634,9.0,79.0,502.0,75.5,61.1,1.8,-14.5,78.6,4.35,34.0
2026-03-10,Đống Đa,566,1245,2.2,25.0,99.0,12.5,30.3,0.44,0.1,92.0,13.33,0.0
2026-03-10,Hai Bà Trưng,1,4,4.2,51.0,207.0,0.0,53.3,0.84,,0,0,8.0
2026-03-10,Ba Đình,1,5,5.0,54.0,208.0,0.1,54.5,1.0,,0,0,0.0
2026-03-10,Đông Anh,203,2862,14.1,73,536.0,37.9,42,2.82,2.8,94.5,13.64,32.5
2026-03-10,Đan Phượng,77,216,2.8,54.0,280.0,3.2,61.4,0.56,-21.8,71.9,4.76,50.0
2026-03-10,Thanh Trì,414,4223,10.2,73,532.0,60.9,67,2.04,-17.2,76.1,12.5,44.1
2026-03-11,Nam Từ Liêm,2473,11128,4.5,45.0,339.0,125.2,52.1,0.9,-3.9,94.3,6.67,12.5
2026-03-11,Cầu Giấy,1948,1364,0.7,23.0,99.0,14.9,21.4,0.14,15.5,113.4,6.67,9.5
2026-03-11,Hà Đông,1881,1129,0.6,29.0,112.0,13.4,52.9,0.12,-19.5,79.0,10.0,18.3
2026-03-11,Hoàng Mai,1597,958,0.6,39.0,201.0,13.9,56.2,0.12,-17.3,81.2,6.67,44.9
2026-03-11,Thanh Xuân,1395,7672,5.5,45.0,289.0,84.4,50.2,1.1,-1.6,96.6,20.0,10.0
2026-03-11,Tây Hồ,1055,4009,3.8,49.0,238.0,43.4,32.7,0.76,36.5,134.0,0,8.2
